no,tanggal,jam,cuaca,suhu,,
403,17,19,2,12,,
404,17,20,2,12,,
405,17,21,2,12,,
406,17,22,2,12,,
407,17,23,2,12,,
408,17,24,2,12,,
409,18,1,1,11,,
410,18,2,2,12,,
411,18,3,2,11,,
412,18,4,2,11,,
413,18,5,2,11,,
414,18,6,2,11,,
415,18,7,2,11,,
416,18,8,2,11,,
417,18,9,2,11,,
418,18,10,2,12,,
419,18,11,1,12,,
420,18,12,2,12,,
421,18,13,2,13,,
422,18,14,1,13,,
423,18,15,2,13,,
424,18,16,2,13,,
425,18,17,2,13,,
426,18,18,2,12,,
427,18,19,2,11,,
428,18,20,2,11,,
429,18,21,2,11,,
430,18,22,2,10,,
431,18,23,2,10,,
432,18,24,1,9,,
433,19,1,2,4,,
434,19,2,2,4,,
435,19,3,2,4,,
436,19,4,2,4,,
437,19,5,2,3,,
438,19,6,2,3,,
439,19,7,2,3,,
440,19,8,2,4,,
441,19,9,2,5,,
442,19,10,2,5,,
443,19,11,2,6,,
444,19,12,1,6,,
445,19,13,1,7,,
446,19,14,1,7,,
447,19,15,2,8,,
448,19,16,2,8,,
449,19,17,2,9,,
450,19,18,2,9,,
451,19,19,2,9,,
452,19,20,2,9,,
453,19,21,2,9,,
454,19,22,2,9,,
455,19,23,2,9,,
456,19,24,2,9,,
457,20,1,2,9,,
458,20,2,2,9,,
459,20,3,2,9,,
460,20,4,2,9,,
461,20,5,2,9,,
462,20,6,2,9,,
463,20,7,2,9,,
464,20,8,2,9,,
465,20,9,2,10,,
466,20,10,1,10,,
467,20,11,2,10,,
468,20,12,1,10,,
469,20,13,1,10,,
470,20,14,1,7,,
471,20,15,2,6,,
472,20,16,2,7,,
473,20,17,2,7,,
474,20,18,2,6,,
475,20,19,2,5,,
476,20,20,2,4,,
477,20,21,2,4,,
478,20,22,2,4,,
479,20,23,2,4,,
480,20,24,2,4,,
481,21,1,2,4,,
482,21,2,2,4,,
483,21,3,2,4,,
484,21,4,2,4,,
485,21,5,2,4,,
486,21,6,2,4,,
487,21,7,2,5,,
488,21,8,2,5,,
489,21,9,2,7,,
490,21,10,2,8,,
491,21,11,2,8,,
492,21,12,2,9,,
493,21,13,2,10,,
494,21,14,2,10,,
495,21,15,2,10,,
496,21,16,2,11,,
497,21,17,2,10,,
498,21,18,2,10,,
499,21,19,2,10,,
500,21,20,2,10,,
501,21,21,2,10,,
502,21,22,2,10,,
503,21,23,2,10,,
504,21,24,2,9,,
505,22,1,2,9,,
506,22,2,2,9,,
507,22,3,2,9,,
508,22,4,2,10,,
509,22,5,2,10,,
510,22,6,2,10,,
511,22,7,2,11,,
512,22,8,2,11,,
513,22,9,1,11,,
514,22,10,1,11,,
515,22,11,2,13,,
516,22,12,2,13,,
517,22,13,2,13,,
518,22,14,2,13,,
519,22,15,2,12,,
520,22,16,2,11,,
521,22,17,2,11,,
522,22,18,2,11,,
523,22,19,2,10,,
524,22,20,2,10,,
525,22,21,2,9,,
526,22,22,2,9,,
527,22,23,2,9,,
528,22,24,2,9,,
529,23,1,2,9,,
530,23,2,2,9,,
531,23,3,2,9,,
532,23,4,2,11,,
533,23,5,2,12,,
534,23,6,2,12,,
535,23,7,2,12,,
536,23,8,1,12,,
537,23,9,1,12,,
538,23,10,1,12,,
539,23,11,2,14,,
540,23,12,2,14,,
541,23,13,2,12,,
542,23,14,2,12,,
543,23,15,2,11,,
544,23,16,2,10,,
545,23,17,2,10,,
546,23,18,2,9,,
547,23,19,2,8,,
548,23,20,2,8,,
549,23,21,2,7,,
550,23,22,2,7,,
551,23,23,2,7,,
552,23,24,2,7,,
553,24,1,2,7,,
554,24,2,2,7,,
555,24,3,2,6,,
556,24,4,2,6,,
557,24,5,2,6,,
558,24,6,2,7,,
559,24,7,2,9,,
560,24,8,2,11,,
561,24,9,2,11,,
562,24,10,1,11,,
563,24,11,1,11,,
564,24,12,1,11,,
565,24,13,2,11,,
566,24,14,2,11,,
567,24,15,2,12,,
568,24,16,2,12,,
569,24,17,2,12,,
570,24,18,2,12,,
571,24,19,2,11,,
572,24,20,2,10,,
573,24,21,2,9,,
574,24,22,2,8,,
575,24,23,2,7,,
576,24,24,2,7,,
577,25,1,2,7,,
578,25,2,2,6,,
579,25,3,2,6,,
